Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.5166;
2;0.4964;
3;0.5313;
4;0.5362;
5;0.6053;
6;0.6645;
7;0.8508;
8;0.9838;
9;1.0123;
10;0.9179;
11;0.8507;
12;0.861;
13;0.9102;
14;1.0369;
15;1.305;
16;1.722;
17;1.7882;
18;1.3032;
19;1.1562;
20;1.0947;
21;0.941;
22;0.836;
23;0.7764;
24;0.7255;
