Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.1242;
2;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-12-20
3;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-12-20
4;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-12-20
5;0.123;
6;0.2091;
7;0.5043;
8;0.5981;
9;0.6493;
10;0.6279;
11;0.567;
12;0.5141;
13;0.5129;
14;0.5216;
15;0.5737;
16;0.6351;
17;0.6596;
18;0.6765;
19;0.6642;
20;0.6531;
21;0.5981;
22;0.5646;
23;0.54;
24;0.4797;
