Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6396;
2;0.6039;
3;0.5791;
4;0.5806;
5;0.5843;
6;0.6015;
7;0.603;
8;0.615;
9;0.5289;
10;0.3914;
11;0.1722;
12;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-15
13;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 1901-01-02
14;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-15
15;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-15
16;0.1968;
17;0.5765;
18;0.7503;
19;1.0332;
20;1.23;
21;0.9533;
22;0.7749;
23;0.694;
24;0.6396;
