Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6765;
2;0.6396;
3;0.6101;
4;0.6052;
5;0.6125;
6;0.6196;
7;0.615;
8;0.612;
9;0.5005;
10;0.2214;
11;0.123;
12;0.123;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
13;0.123;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
14;0.123;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
15;0.123;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
16;0.123;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
17;0.4895;
18;0.6954;
19;0.8573;
20;0.984;
21;0.984;
22;0.7897;
23;0.738;
24;0.6694;
