Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.7972;
2;0.7503;
3;0.7172;
4;0.6888;
5;0.6888;
6;0.7109;
7;0.738;
8;0.7872;
9;0.7995;
10;0.7337;
11;0.6556;
12;0.6159;
13;0.6039;
14;0.6211;
15;0.6507;
16;0.7387;
17;0.8856;
18;1.1309;
19;1.0455;
20;1.0086;
21;0.9299;
22;0.8659;
23;0.8315;
24;0.7823;
