Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.5658;
2;0.5303;
3;0.4821;
4;0.4999;
5;0.5236;
6;0.5781;
7;0.6717;
8;0.6936;
9;0.5559;
10;0.1833;
11;0.0953;
12;-0.0012;
13;-0.0057;
14;0.04;
15;0.1189;
16;0.3824;
17;0.6125;
18;0.7654;
19;0.8376;
20;0.8118;
21;0.7107;
22;0.629;
23;0.6458;
24;0.5929;
