Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6237;
2;0.6027;
3;0.5837;
4;0.5793;
5;0.5807;
6;0.5795;
7;0.5852;
8;0.5437;
9;0.3813;
10;0.2111;
11;0.123;
12;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-03-09
13;0.1212;
14;0.123;
15;0.1775;
16;0.4277;
17;0.6133;
18;0.725;
19;0.8094;
20;0.7891;
21;0.7396;
22;0.706;
23;0.6952;
24;0.6556;
