Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.5578;
2;0.5566;
3;0.5701;
4;0.5824;
5;0.613;
6;0.6623;
7;0.7995;
8;0.9102;
9;0.9326;
10;0.8152;
11;0.7601;
12;0.6958;
13;0.697;
14;0.7078;
15;0.7675;
16;0.8487;
17;1.0455;
18;1.237;
19;1.258;
20;1.1863;
21;1.0106;
22;0.861;
23;0.8248;
24;0.7684;
