Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6922;
2;0.6413;
3;0.6155;
4;0.5942;
5;0.584;
6;0.5643;
7;0.5852;
8;0.6199;
9;0.6376;
10;0.6273;
11;0.6031;
12;0.5926;
13;0.5964;
14;0.6111;
15;0.6413;
16;0.6922;
17;0.7611;
18;0.7179;
19;0.7132;
20;0.6957;
21;0.6642;
22;0.6042;
23;0.551;
24;0.4799;
