Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.1353;
2;0.123;
3;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-10-13
4;0.1224;
5;0.1222;
6;0.1224;
7;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-10-13
8;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-10-13
9;0.1231;
10;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-10-13
11;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-10-13
12;0.1193;
13;0.1031;
14;0.1107;
15;0.0775;
16;0.0775;
17;0.1231;
18;0.3395;
19;0.416;
20;0.452;
21;0.3961;
22;0.37;
23;0.3383;
24;0.2595;
