Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6458;
2;0.2337;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-03-23
3;0.615;
4;0.583;
5;0.5781;
6;0.5848;
7;0.5848;
8;0.5753;
9;0.5166;
10;0.3669;
11;0.2091;
12;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-03-30
13;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-03-30
14;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-03-30
15;0.123;
16;0.2699;
17;0.4969;
18;0.6163;
19;0.7293;
20;0.8215;
21;0.861;
22;0.8241;
23;0.7319;
24;0.6499;
