Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6396;
2;0.5966;
3;0.5782;
4;0.5781;
5;0.5853;
6;0.6544;
7;0.952;
8;1.2128;
9;1.0824;
10;0.7134;
11;0.6165;
12;0.5522;
13;0.5092;
14;0.5412;
15;0.6138;
16;0.6396;
17;0.8081;
18;1.1873;
19;1.4133;
20;1.3042;
21;0.984;
22;0.7128;
23;0.6519;
24;0.6027;
