Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.5092;
2;0.497;
3;0.4742;
4;0.4598;
5;0.4644;
6;0.4759;
7;0.5166;
8;0.5555;
9;0.4769;
10;0.3075;
11;0.1356;
12;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-15
13;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-15
14;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-15
15;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-15
16;0.1968;
17;0.586;
18;0.6851;
19;0.8819;
20;1.0367;
21;0.8127;
22;0.6799;
23;0.6167;
24;0.5451;
