Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.7695;
2;0.738;
3;0.7337;
4;0.7278;
5;0.7319;
6;0.7651;
7;0.8856;
8;1.107;
9;1.222;
10;1.0824;
11;0.8974;
12;0.9004;
13;0.9069;
14;0.9308;
15;0.9755;
16;1.107;
17;1.2557;
18;1.3128;
19;1.2632;
20;1.2373;
21;1.0346;
22;0.8339;
23;0.8376;
24;0.7847;
