Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.8032;
2;0.7626;
3;0.7503;
4;0.7491;
5;0.749;
6;0.7508;
7;0.7547;
8;0.7897;
9;0.8118;
10;0.7897;
11;0.7626;
12;0.7477;
13;0.7274;
14;0.738;
15;0.7417;
16;0.7872;
17;0.8647;
18;0.9717;
19;0.9717;
20;0.9643;
21;0.9151;
22;0.8733;
23;0.8266;
24;0.7921;
