Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.1672;
2;0.1361;
3;0.1261;
4;0.125;
5;0.125;
6;0.1509;
7;0.2276;
8;0.3454;
9;0.3198;
10;0.1599;
11;0.2866;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-21
12;0.1242;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-21
13;0.2153;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-14
14;0.2279;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-14
15;0.1242;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-21
16;0.1341;
17;0.492;
18;0.6815;
19;0.703;
20;0.7626;
21;0.7011;
22;0.6305;
23;0.6475;
24;0.567;
