Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6888;
2;0.6583;
3;0.6294;
4;0.6113;
5;0.6113;
6;0.6027;
7;0.6113;
8;0.6162;
9;0.5984;
10;0.5328;
11;0.4674;
12;0.369;
13;0.2885;
14;0.3075;
15;0.369;
16;0.4521;
17;0.615;
18;0.7491;
19;0.8093;
20;0.7964;
21;0.7655;
22;0.7108;
23;0.6883;
24;0.6372;
