Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.5904;
2;0.576;
3;0.5584;
4;0.5191;
5;0.5191;
6;0.5191;
7;0.5279;
8;0.551;
9;0.5928;
10;0.6273;
11;0.6345;
12;0.6274;
13;0.6332;
14;0.6507;
15;0.6766;
16;0.7073;
17;0.7503;
18;0.7737;
19;0.774;
20;0.773;
21;0.7645;
22;0.7343;
23;0.7196;
24;0.6749;
