Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.8118;
2;0.7823;
3;0.7761;
4;0.7754;
5;0.7872;
6;0.8069;
7;0.9447;
8;1.1705;
9;1.31;
10;1.1439;
11;1.0171;
12;0.9594;
13;0.9227;
14;0.9225;
15;0.9056;
16;0.9602;
17;1.0455;
18;1.064;
19;1.0501;
20;1.0332;
21;0.9259;
22;0.8251;
23;0.7934;
24;0.7552;
