Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.5535;
2;0.5363;
3;0.5166;
4;0.5166;
5;0.5535;
6;0.6101;
7;0.7429;
8;0.7568;
9;0.738;
10;0.6027;
11;0.4305;
12;0.3247;
13;0.2152;
14;0.1845;
15;0.2152;
16;0.3075;
17;0.5436;
18;0.738;
19;1.0214;
20;1.4994;
21;1.0638;
22;0.7491;
23;0.6642;
24;0.6101;
