Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.8069;
2;0.7749;
3;0.7626;
4;0.7657;
5;0.7749;
6;0.812;
7;0.9519;
8;1.1919;
9;1.0812;
10;0.852;
11;0.7303;
12;0.6765;
13;0.6458;
14;0.6526;
15;0.6897;
16;0.8098;
17;1.0369;
18;1.1685;
19;1.111;
20;1.0433;
21;0.9225;
22;0.8006;
23;0.7724;
24;0.738;
