Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.4809;
2;0.4305;
3;0.4305;
4;0.4797;
5;0.5052;
6;0.5756;
7;0.7218;
8;0.8153;
9;0.6381;
10;0.4674;
11;0.2214;
12;0.123;
13;0.123;
14;0.1242;
15;0.3075;
16;0.5584;
17;0.6908;
18;0.8856;
19;0.9348;
20;0.8733;
21;0.7737;
22;0.6581;
23;0.6397;
24;0.579;
