Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6953;
2;0.6765;
3;0.6765;
4;0.6765;
5;0.7005;
6;0.7357;
7;0.9065;
8;1.1611;
9;0.9963;
10;0.7892;
11;0.6888;
12;0.6497;
13;0.6147;
14;0.6261;
15;0.6882;
16;0.861;
17;1.1829;
18;1.3135;
19;1.2299;
20;1.1933;
21;1.0866;
22;0.8536;
23;0.8279;
24;0.7359;
