Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.1211;
2;0.1211;
3;0.1211;
4;0.1211;
5;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-12-15
6;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-12-15
7;0.1211;
8;0.123;
9;0.246;
10;0.3665;
11;0.3934;
12;0.428;
13;0.4403;
14;0.4698;
15;0.5064;
16;0.519;
17;0.5215;
18;0.519;
19;0.5092;
20;0.4821;
21;0.428;
22;0.246;
23;0.1476;
24;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-12-15
