Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.7149;
2;0.6818;
3;0.6662;
4;0.6679;
5;0.6972;
6;0.7371;
7;0.8807;
8;0.984;
9;0.914;
10;0.7137;
11;0.6125;
12;0.5633;
13;0.5166;
14;0.5904;
15;0.6273;
16;0.8093;
17;0.8915;
18;0.9306;
19;0.9505;
20;0.9963;
21;0.9004;
22;0.8235;
23;0.7949;
24;0.7498;
