Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6298;
2;0.6248;
3;0.6199;
4;0.62;
5;0.6396;
6;0.69;
7;0.861;
8;0.984;
9;0.8007;
10;0.615;
11;0.5135;
12;0.4465;
13;0.4468;
14;0.4736;
15;0.5252;
16;0.615;
17;0.8287;
18;0.9891;
19;1.23;
20;1.0455;
21;0.9041;
22;0.767;
23;0.7306;
24;0.6765;
