Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.7688;
2;0.7454;
3;0.7281;
4;0.7196;
5;0.7302;
6;0.7774;
7;0.9717;
8;1.2279;
9;1.0517;
10;0.8487;
11;0.7576;
12;0.6396;
13;0.615;
14;0.663;
15;0.7291;
16;0.8332;
17;1.107;
18;1.5117;
19;1.5226;
20;1.2632;
21;1.0833;
22;0.9225;
23;0.8672;
24;0.7844;
