Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.7429;
2;0.7196;
3;0.7047;
4;0.6963;
5;0.7124;
6;0.7355;
7;0.8487;
8;0.9257;
9;0.9688;
10;0.8979;
11;0.7995;
12;0.7626;
13;0.7306;
14;0.738;
15;0.7724;
16;0.8547;
17;0.9225;
18;1.0148;
19;0.9914;
20;0.9348;
21;0.8803;
22;0.7934;
23;0.7872;
24;0.7504;
