Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.5754;
2;0.5535;
3;0.5338;
4;0.5412;
5;0.5407;
6;0.5742;
7;0.6659;
8;0.6753;
9;0.5904;
10;0.5166;
11;0.326;
12;0.1661;
13;0.1242;
14;0.2706;
15;0.3985;
16;0.609;
17;0.7314;
18;0.7313;
19;0.7349;
20;0.7176;
21;0.6894;
22;0.6711;
23;0.621;
24;0.5707;
