Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.5215;
2;0.5412;
3;0.5531;
4;0.5486;
5;0.5879;
6;0.6199;
7;0.7139;
8;0.7749;
9;0.7682;
10;0.677;
11;0.6125;
12;0.5759;
13;0.5756;
14;0.5959;
15;0.6027;
16;0.6899;
17;0.7139;
18;0.7434;
19;0.7319;
20;0.7454;
21;0.6992;
22;0.6039;
23;0.6285;
24;0.6074;
