Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6465;
2;0.6215;
3;0.6073;
4;0.615;
5;0.6396;
6;0.6642;
7;0.7134;
8;0.6745;
9;0.6266;
10;0.4182;
11;0.123;
12;0.123;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
13;0.123;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
14;0.123;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
15;0.123;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
16;0.1353;
17;0.5328;
18;0.7428;
19;0.9417;
20;1.1428;
21;1.066;
22;0.8396;
23;0.6876;
24;0.5573;
