Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.7577;
2;0.7454;
3;0.7344;
4;0.7282;
5;0.738;
6;0.7731;
7;0.92;
8;1.1509;
9;1.2423;
10;1.0599;
11;0.9004;
12;0.8216;
13;0.8118;
14;0.8167;
15;0.9041;
16;1.1378;
17;1.225;
18;1.1145;
19;1.0898;
20;1.077;
21;0.9373;
22;0.8637;
23;0.7995;
24;0.7726;
