Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.6039;
2;0.5598;
3;0.5448;
4;0.5349;
5;0.5301;
6;0.5301;
7;0.5166;
8;0.4932;
9;0.385;
10;0.2202;
11;0.2202;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
12;0.2202;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
13;0.2202;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
14;0.2202;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
15;0.2202;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
16;0.2202;Brak danych ENEA, przyjąłem stawkę z poprzedniej godziny
17;0.3493;
18;0.6384;
19;0.7552;
20;0.9242;
21;0.861;
22;0.7283;
23;0.6396;
24;0.5659;
