"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","460,00","3 449,50"
"1-2","430,00","3 113,20"
"2-3","418,50","3 102,10"
"3-4","412,40","3 188,20"
"4-5","424,00","3 122,20"
"5-6","432,00","3 091,30"
"6-7","513,60","3 676,90"
"7-8","533,96","3 558,10"
"8-9","495,65","3 358,10"
"9-10","450,00","3 376,70"
"10-11","436,00","3 189,10"
"11-12","427,04","3 002,20"
"12-13","430,00","3 105,60"
"13-14","432,00","3 093,60"
"14-15","442,00","3 203,80"
"15-16","442,90","3 140,70"
"16-17","446,00","3 472,90"
"17-18","544,19","3 766,40"
"18-19","630,00","3 697,40"
"19-20","799,00","4 070,00"
"20-21","879,00","4 172,70"
"21-22","650,00","3 842,00"
"22-23","507,00","3 774,90"
"23-24","442,00","3 458,60"
