"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","436,00","2 235,60"
"1-2","420,00","2 348,20"
"2-3","405,61","2 376,00"
"3-4","404,01","2 266,90"
"4-5","406,30","2 245,80"
"5-6","429,37","2 330,60"
"6-7","496,00","2 415,90"
"7-8","528,07","2 628,40"
"8-9","484,00","2 657,70"
"9-10","428,00","3 425,90"
"10-11","376,08","3 950,50"
"11-12","360,00","4 449,50"
"12-13","343,05","4 357,30"
"13-14","340,00","4 219,50"
"14-15","361,00","3 640,10"
"15-16","379,41","3 320,10"
"16-17","400,00","3 263,60"
"17-18","450,00","3 582,90"
"18-19","589,58","3 289,70"
"19-20","692,02","3 374,30"
"20-21","736,90","3 707,60"
"21-22","600,00","3 628,60"
"22-23","486,67","3 244,10"
"23-24","426,06","3 147,60"
