"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","415,10","3 247,00"
"1-2","398,17","3 253,70"
"2-3","392,10","3 087,20"
"3-4","390,00","2 944,90"
"4-5","402,00","2 787,50"
"5-6","439,20","2 612,90"
"6-7","559,55","2 877,20"
"7-8","498,64","3 777,30"
"8-9","419,33","4 098,00"
"9-10","247,51","4 845,60"
"10-11","10,00","5 873,30"
"11-12","0,01","5 446,80"
"12-13","0,01","5 526,40"
"13-14","0,00","5 238,10"
"14-15","0,01","5 332,30"
"15-16","102,01","5 044,30"
"16-17","247,60","3 857,80"
"17-18","401,90","3 550,70"
"18-19","540,00","3 274,00"
"19-20","735,34","4 376,30"
"20-21","1160,37","4 400,40"
"21-22","1075,65","4 465,70"
"22-23","645,34","4 873,70"
"23-24","542,74","4 191,50"
