"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","411,80","2 405,40"
"1-2","390,00","2 307,30"
"2-3","362,83","2 338,00"
"3-4","361,19","2 392,30"
"4-5","358,24","2 377,20"
"5-6","375,69","2 341,60"
"6-7","414,00","2 672,70"
"7-8","410,00","2 801,90"
"8-9","407,43","2 929,70"
"9-10","333,00","3 242,70"
"10-11","227,83","3 612,00"
"11-12","186,17","3 691,00"
"12-13","180,26","3 726,00"
"13-14","270,00","3 671,00"
"14-15","363,06","3 291,30"
"15-16","400,00","3 209,00"
"16-17","435,82","2 596,40"
"17-18","478,00","2 994,60"
"18-19","536,40","3 450,00"
"19-20","616,70","3 457,80"
"20-21","693,50","3 500,60"
"21-22","527,00","3 405,70"
"22-23","440,00","3 624,10"
"23-24","376,20","2 685,40"
