"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","490,00","3 073,40"
"1-2","471,43","2 692,70"
"2-3","450,00","2 622,10"
"3-4","440,20","2 558,70"
"4-5","440,20","2 457,00"
"5-6","456,00","2 643,50"
"6-7","512,00","2 972,40"
"7-8","510,54","2 685,90"
"8-9","430,40","3 083,30"
"9-10","266,00","3 638,60"
"10-11","0,01","4 890,60"
"11-12","-0,99","4 185,60"
"12-13","-2,13","4 013,40"
"13-14","-2,13","4 039,90"
"14-15","-1,42","4 128,30"
"15-16","0,01","4 411,40"
"16-17","52,35","4 408,80"
"17-18","295,20","4 106,10"
"18-19","516,00","3 164,20"
"19-20","596,80","3 503,70"
"20-21","920,00","3 900,60"
"21-22","759,00","3 797,10"
"22-23","550,00","4 300,00"
"23-24","490,00","3 429,90"
