"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","330,00","3 388,50"
"1-2","270,00","3 547,00"
"2-3","265,30","3 306,60"
"3-4","271,00","3 229,50"
"4-5","271,10","3 303,90"
"5-6","299,78","3 759,50"
"6-7","365,20","4 137,50"
"7-8","350,06","4 885,80"
"8-9","175,00","5 496,20"
"9-10","0,00","5 675,40"
"10-11","-20,00","4 426,00"
"11-12","-46,40","4 454,60"
"12-13","-36,01","4 432,80"
"13-14","-25,00","4 477,30"
"14-15","-24,00","4 415,90"
"15-16","-2,12","4 246,70"
"16-17","0,00","4 998,00"
"17-18","213,99","5 097,30"
"18-19","471,80","4 119,90"
"19-20","613,39","4 293,20"
"20-21","661,70","4 652,00"
"21-22","556,40","4 374,30"
"22-23","510,46","4 034,60"
"23-24","501,20","3 266,10"
