"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","470,00","2 338,10"
"1-2","452,00","2 288,40"
"2-3","450,00","2 606,70"
"3-4","442,78","2 314,40"
"4-5","444,00","2 220,90"
"5-6","465,73","2 493,90"
"6-7","546,90","2 683,30"
"7-8","545,00","2 814,80"
"8-9","488,95","2 377,60"
"9-10","425,00","3 045,30"
"10-11","341,20","3 492,00"
"11-12","319,22","3 989,70"
"12-13","281,70","3 984,20"
"13-14","261,00","3 610,80"
"14-15","280,00","3 333,70"
"15-16","344,01","3 041,20"
"16-17","385,99","2 679,40"
"17-18","440,16","3 046,10"
"18-19","569,20","3 681,00"
"19-20","932,59","4 604,30"
"22-23","603,86","4 281,70"
"23-24","494,10","3 471,00"
