"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","381,00","3 108,40"
"1-2","352,67","2 891,70"
"2-3","342,56","2 944,00"
"3-4","349,20","2 951,80"
"4-5","352,67","2 979,20"
"5-6","361,00","3 227,00"
"6-7","433,40","3 107,90"
"7-8","435,80","3 362,90"
"8-9","420,00","3 853,90"
"9-10","362,00","4 749,70"
"10-11","298,37","4 615,50"
"11-12","237,66","4 793,00"
"12-13","195,21","4 653,00"
"13-14","129,41","4 488,20"
"14-15","120,00","4 095,80"
"15-16","205,90","4 015,50"
"16-17","342,20","3 560,70"
"17-18","438,00","3 069,20"
"18-19","518,00","3 430,10"
"19-20","672,72","4 353,30"
"20-21","838,12","4 830,10"
"21-22","650,00","4 318,60"
"22-23","532,22","4 148,70"
"23-24","459,70","3 550,80"
