"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","450,16","2 739,00"
"1-2","437,00","2 333,50"
"2-3","422,94","2 336,70"
"3-4","424,00","2 442,30"
"4-5","420,82","2 297,80"
"5-6","410,00","2 030,90"
"6-7","422,00","2 355,10"
"7-8","415,90","2 281,80"
"8-9","404,00","2 656,20"
"9-10","315,77","3 101,10"
"10-11","209,46","3 371,80"
"11-12","129,99","3 312,60"
"12-13","45,00","3 420,40"
"13-14","50,00","3 185,80"
"14-15","130,00","2 756,00"
"15-16","297,99","2 770,30"
"16-17","384,30","2 522,60"
"17-18","477,29","2 337,50"
"18-19","490,00","2 995,10"
"19-20","554,92","3 169,80"
"20-21","639,30","3 478,40"
"21-22","569,99","3 262,60"
"22-23","487,04","3 184,90"
"23-24","438,99","2 644,90"
