"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","460,67","2 284,20"
"1-2","445,00","2 111,00"
"2-3","445,00","1 875,40"
"3-4","435,00","1 891,30"
"4-5","425,31","1 784,00"
"5-6","424,00","1 894,10"
"6-7","400,07","1 797,20"
"7-8","386,00","2 146,20"
"8-9","348,00","2 321,70"
"9-10","225,90","2 578,80"
"10-11","98,00","2 994,90"
"11-12","24,80","3 332,40"
"12-13","8,50","2 950,80"
"13-14","1,00","2 658,60"
"14-15","5,70","2 734,50"
"15-16","22,85","2 449,30"
"16-17","296,39","2 510,80"
"17-18","440,00","2 383,80"
"18-19","524,00","2 842,70"
"19-20","523,80","3 022,60"
"20-21","624,38","3 441,20"
"21-22","629,00","3 475,90"
"22-23","560,00","3 170,70"
"23-24","515,00","2 597,40"
