"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","450,00","2 577,80"
"1-2","427,00","2 367,70"
"2-3","410,00","2 238,00"
"3-4","413,99","2 044,40"
"4-5","400,00","1 786,00"
"5-6","410,00","1 766,30"
"6-7","400,00","1 688,60"
"7-8","420,00","2 176,00"
"8-9","279,54","2 367,80"
"9-10","132,71","2 765,30"
"10-11","53,22","2 884,50"
"11-12","0,01","3 089,00"
"12-13","0,01","2 783,40"
"13-14","-0,01","2 495,40"
"14-15","0,01","2 648,50"
"15-16","34,00","3 026,20"
"16-17","207,99","2 471,40"
"17-18","439,84","1 963,90"
"18-19","520,00","2 712,80"
"19-20","590,00","3 204,60"
"20-21","750,00","3 652,40"
"21-22","650,00","3 514,60"
"22-23","539,99","3 497,90"
"23-24","479,19","3 016,80"
