"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","445,66","3 450,00"
"1-2","438,00","3 281,80"
"2-3","419,00","3 136,90"
"3-4","430,00","3 120,00"
"4-5","419,00","3 069,30"
"5-6","438,00","3 098,00"
"6-7","472,71","3 228,20"
"7-8","459,77","3 278,40"
"8-9","450,00","3 544,10"
"9-10","435,84","3 871,30"
"10-11","382,14","4 137,20"
"11-12","365,60","4 089,30"
"12-13","305,20","3 734,40"
"13-14","320,00","3 587,00"
"14-15","365,84","3 376,00"
"15-16","376,78","3 203,20"
"16-17","415,02","2 962,00"
"17-18","440,00","2 650,50"
"18-19","508,10","3 200,40"
"19-20","661,20","3 617,10"
"20-21","759,00","4 037,70"
"21-22","622,30","3 602,90"
"22-23","515,90","3 661,70"
"23-24","450,90","3 091,10"
