"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","379,20","1 824,90"
"1-2","356,10","1 928,90"
"2-3","339,00","1 867,90"
"3-4","339,00","1 857,60"
"4-5","360,00","1 876,70"
"5-6","380,00","1 879,20"
"6-7","443,23","2 196,60"
"7-8","485,97","2 612,50"
"8-9","480,00","2 944,00"
"9-10","435,10","3 162,80"
"10-11","381,00","3 305,40"
"11-12","345,77","3 408,60"
"12-13","332,00","3 253,40"
"13-14","320,80","3 158,20"
"14-15","307,27","2 988,60"
"15-16","332,00","3 061,10"
"16-17","369,00","2 824,70"
"17-18","391,60","2 493,50"
"18-19","500,00","2 565,80"
"19-20","673,00","3 322,90"
"20-21","779,00","3 549,40"
"21-22","584,70","3 457,70"
"22-23","464,00","3 405,60"
"23-24","405,00","2 893,30"
