"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","408,71","2 282,00"
"1-2","400,00","2 242,90"
"2-3","381,93","1 987,60"
"3-4","381,93","1 951,20"
"4-5","371,80","1 850,50"
"5-6","382,00","2 131,90"
"6-7","510,00","3 134,00"
"7-8","550,00","3 125,80"
"8-9","571,32","3 074,90"
"9-10","450,00","3 191,90"
"10-11","343,00","3 268,30"
"11-12","315,00","3 533,60"
"12-13","333,29","3 538,10"
"13-14","291,99","3 636,20"
"14-15","271,50","3 671,50"
"15-16","329,99","3 955,00"
"16-17","369,99","3 916,30"
"17-18","442,26","3 480,60"
"18-19","486,17","3 373,00"
"19-20","571,53","3 611,20"
"20-21","731,08","4 020,60"
"21-22","660,00","3 933,10"
"22-23","552,00","3 597,20"
"23-24","470,00","3 053,90"
