"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","510,34","2 878,60"
"1-2","480,00","2 738,40"
"2-3","460,45","2 784,90"
"3-4","453,68","2 609,40"
"4-5","448,01","2 490,30"
"5-6","442,00","2 357,60"
"6-7","460,00","2 225,00"
"7-8","469,02","2 084,20"
"8-9","439,00","2 272,20"
"9-10","360,00","2 642,00"
"10-11","301,00","2 770,10"
"11-12","200,00","3 147,30"
"12-13","170,00","3 107,00"
"13-14","156,00","2 889,90"
"14-15","178,56","2 448,00"
"15-16","260,00","2 507,10"
"16-17","400,00","2 574,60"
"17-18","488,00","2 210,70"
"18-19","550,00","2 696,40"
"19-20","610,00","2 742,20"
"20-21","681,29","3 034,80"
"21-22","654,68","2 968,70"
"22-23","560,00","3 133,70"
"23-24","496,07","2 333,00"
