"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","456,00","3 221,50"
"1-2","425,32","2 746,60"
"2-3","407,00","2 527,30"
"3-4","401,00","2 404,10"
"4-5","403,40","2 247,70"
"5-6","420,60","2 568,90"
"6-7","470,89","3 201,30"
"7-8","483,88","2 903,60"
"8-9","482,43","2 917,30"
"9-10","510,00","3 164,50"
"10-11","470,97","3 098,10"
"11-12","458,27","3 305,30"
"12-13","445,01","3 396,00"
"13-14","472,80","3 255,50"
"14-15","482,43","3 273,70"
"15-16","496,80","3 201,00"
"16-17","483,73","3 361,00"
"17-18","456,70","3 475,60"
"18-19","560,70","3 731,90"
"19-20","693,30","4 029,80"
"20-21","770,00","4 051,70"
"21-22","636,34","3 995,30"
"22-23","537,87","3 999,30"
"23-24","478,00","3 326,90"
