"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","480,00","3 299,50"
"1-2","443,45","3 123,90"
"2-3","426,05","2 934,70"
"3-4","420,00","3 048,00"
"4-5","418,90","3 020,80"
"5-6","442,25","3 165,70"
"6-7","491,00","3 175,70"
"7-8","491,10","2 779,10"
"8-9","440,00","2 541,10"
"9-10","366,20","2 594,40"
"10-11","287,72","3 331,30"
"11-12","250,00","3 570,70"
"12-13","220,08","3 659,20"
"13-14","238,20","3 503,10"
"14-15","220,00","3 157,50"
"15-16","342,20","2 613,90"
"16-17","380,00","2 901,20"
"17-18","450,10","3 089,00"
"18-19","558,00","3 892,50"
"19-20","800,00","4 329,50"
"20-21","931,60","4 587,20"
"21-22","750,00","4 633,60"
"22-23","540,00","4 607,60"
"23-24","469,97","4 113,20"
