"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","448,00","3 081,00"
"1-2","437,03","2 723,60"
"2-3","430,37","2 572,50"
"3-4","424,15","2 556,80"
"4-5","410,00","2 664,80"
"5-6","431,02","2 806,00"
"6-7","485,00","3 649,00"
"7-8","452,05","2 989,30"
"8-9","378,80","3 185,40"
"9-10","194,69","3 779,50"
"10-11","0,00","3 924,40"
"11-12","-2,12","3 551,70"
"12-13","-2,12","3 623,80"
"13-14","-2,00","3 716,70"
"14-15","-1,43","3 503,70"
"15-16","0,01","3 890,40"
"16-17","100,00","3 532,30"
"17-18","320,00","3 497,50"
"18-19","479,00","3 184,20"
"19-20","680,00","3 980,60"
"20-21","960,00","4 572,60"
"21-22","701,10","4 355,00"
"22-23","479,46","4 064,10"
"23-24","443,00","3 433,20"
