"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","430,00","2 716,00"
"1-2","410,02","2 467,80"
"2-3","410,02","2 539,70"
"3-4","404,60","2 391,50"
"4-5","400,00","2 346,60"
"5-6","410,02","2 408,20"
"6-7","466,00","2 938,90"
"7-8","460,00","3 125,30"
"8-9","428,77","2 882,00"
"9-10","388,20","3 181,60"
"10-11","311,99","3 714,40"
"11-12","251,40","4 200,80"
"12-13","161,00","4 324,00"
"13-14","60,00","4 303,80"
"14-15","70,11","3 988,50"
"15-16","134,80","3 927,50"
"16-17","300,00","3 668,70"
"17-18","397,99","3 496,20"
"18-19","482,01","2 988,10"
"19-20","529,60","3 249,00"
"20-21","621,50","3 639,40"
"21-22","550,00","3 624,90"
"22-23","475,00","3 491,90"
"23-24","428,00","3 004,50"
