"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","446,72","2 317,80"
"1-2","429,03","2 113,50"
"2-3","419,80","2 353,10"
"3-4","417,00","2 250,30"
"4-5","415,74","2 145,20"
"5-6","412,92","1 920,20"
"6-7","401,28","1 885,30"
"7-8","401,28","2 016,60"
"8-9","330,00","2 283,70"
"9-10","160,00","3 062,20"
"10-11","13,00","3 915,60"
"11-12","-2,00","3 042,70"
"12-13","-4,00","3 054,50"
"13-14","-7,66","2 917,70"
"14-15","-1,00","2 646,00"
"15-16","10,11","3 407,70"
"16-17","200,00","3 031,00"
"17-18","396,00","2 581,70"
"18-19","482,26","2 504,80"
"19-20","547,50","2 886,20"
"20-21","612,70","3 050,60"
"21-22","628,30","3 323,20"
"22-23","529,79","3 026,60"
"23-24","489,90","2 718,10"
