"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","424,15","3 274,50"
"1-2","408,89","3 016,90"
"2-3","399,00","2 945,90"
"3-4","400,00","2 904,10"
"4-5","403,27","3 035,00"
"5-6","414,34","3 007,30"
"6-7","459,40","3 344,80"
"7-8","454,00","3 233,60"
"8-9","430,01","3 609,30"
"9-10","360,00","3 690,30"
"10-11","296,99","4 201,20"
"11-12","245,00","4 734,70"
"12-13","181,28","4 787,60"
"13-14","190,00","4 582,80"
"14-15","210,00","4 175,80"
"15-16","270,00","3 664,30"
"16-17","371,30","3 155,10"
"17-18","415,97","3 326,70"
"18-19","524,08","3 606,10"
"19-20","676,00","4 123,10"
"20-21","846,69","4 707,40"
"21-22","671,70","4 466,30"
"22-23","520,00","3 977,70"
"23-24","450,00","3 441,30"
