"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","450,00","2 053,30"
"1-2","429,40","2 084,40"
"2-3","425,00","2 126,00"
"3-4","418,00","2 091,70"
"4-5","429,06","2 146,20"
"5-6","439,20","2 101,70"
"6-7","474,96","2 275,20"
"7-8","442,00","2 714,80"
"8-9","350,00","3 756,50"
"9-10","44,00","4 942,60"
"10-11","-1,42","4 037,00"
"11-12","-44,89","3 773,20"
"12-13","-30,00","3 746,00"
"13-14","-15,00","3 591,90"
"14-15","-2,12","3 255,80"
"15-16","0,00","3 396,60"
"16-17","11,90","4 207,20"
"17-18","321,80","3 694,70"
"18-19","638,99","2 916,20"
"19-20","700,00","3 558,80"
"20-21","1088,12","3 968,00"
"21-22","1003,77","3 881,40"
"22-23","650,00","4 178,50"
"23-24","553,89","3 821,50"
