"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","430,00","2 442,70"
"1-2","404,46","2 292,90"
"2-3","386,90","2 252,40"
"3-4","379,84","2 352,10"
"4-5","365,29","2 326,00"
"5-6","391,40","2 387,90"
"6-7","442,50","2 947,10"
"7-8","430,00","3 514,80"
"8-9","349,00","4 003,40"
"9-10","120,11","4 694,70"
"10-11","0,01","4 440,00"
"11-12","-2,71","4 009,30"
"12-13","-2,99","4 018,70"
"13-14","-4,90","3 812,30"
"14-15","-2,71","3 696,90"
"15-16","0,01","4 445,80"
"16-17","157,00","3 997,60"
"17-18","368,68","3 287,40"
"18-19","500,00","2 737,80"
"19-20","553,36","3 636,30"
"20-21","733,10","4 205,20"
"21-22","679,97","3 878,80"
"22-23","503,20","3 544,70"
"23-24","458,00","2 817,60"
