"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","510,00","3 246,20"
"1-2","460,00","2 911,10"
"2-3","434,52","2 838,40"
"3-4","430,27","2 687,20"
"4-5","430,00","2 658,70"
"5-6","450,00","2 702,20"
"6-7","530,00","3 138,00"
"7-8","539,00","2 942,90"
"8-9","463,76","3 398,50"
"9-10","335,99","3 697,50"
"10-11","207,64","4 288,20"
"11-12","33,00","4 711,20"
"12-13","14,00","4 771,20"
"13-14","14,00","4 532,60"
"14-15","50,00","4 221,60"
"15-16","234,09","3 659,90"
"16-17","345,75","2 782,00"
"17-18","544,10","3 606,00"
"18-19","691,43","3 948,40"
"22-23","659,00","4 412,90"
"23-24","500,00","3 373,30"
