"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","542,40","3 370,40"
"1-2","511,00","3 451,40"
"2-3","489,69","3 521,30"
"3-4","476,00","3 566,10"
"4-5","475,00","3 517,10"
"5-6","490,00","3 350,10"
"6-7","564,26","3 965,40"
"7-8","580,00","3 582,20"
"8-9","500,00","3 553,70"
"9-10","400,00","3 861,00"
"10-11","303,99","4 524,40"
"11-12","253,60","4 467,10"
"12-13","220,70","4 508,50"
"13-14","186,70","4 253,40"
"14-15","179,70","3 859,00"
"15-16","336,00","3 863,40"
"16-17","420,00","3 536,20"
"17-18","497,00","3 524,20"
"18-19","730,00","4 016,70"
"19-20","1130,74","4 604,50"
"20-21","1300,00","4 869,30"
"21-22","980,60","4 610,80"
"22-23","544,00","4 430,40"
"23-24","450,00","3 190,10"
