"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","450,00","2 507,60"
"1-2","429,47","2 374,80"
"2-3","417,10","2 284,30"
"3-4","416,00","2 285,50"
"4-5","412,50","2 154,80"
"5-6","432,90","2 202,20"
"6-7","482,00","2 479,60"
"7-8","463,00","2 428,20"
"8-9","448,00","2 620,60"
"9-10","402,44","3 084,90"
"10-11","342,00","3 361,00"
"11-12","332,42","3 374,30"
"12-13","291,80","3 485,40"
"13-14","311,99","3 052,10"
"14-15","311,99","3 225,30"
"15-16","376,70","3 045,80"
"16-17","397,00","2 980,70"
"17-18","411,00","2 820,30"
"18-19","505,00","3 158,70"
"19-20","600,00","3 631,90"
"20-21","728,00","3 858,00"
"21-22","590,00","3 717,90"
"22-23","506,80","3 761,40"
"23-24","457,82","3 120,50"
