"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","448,00","2 906,50"
"1-2","432,00","2 370,70"
"2-3","421,00","2 225,80"
"3-4","440,44","2 161,60"
"4-5","435,78","2 085,80"
"5-6","424,00","1 916,10"
"6-7","459,99","2 187,00"
"7-8","497,35","2 359,40"
"8-9","545,00","2 932,30"
"9-10","495,58","2 732,00"
"10-11","460,00","2 722,50"
"11-12","431,90","2 813,90"
"12-13","424,00","2 727,10"
"13-14","401,00","2 838,40"
"14-15","420,00","2 861,10"
"15-16","431,90","2 654,50"
"16-17","449,99","2 657,80"
"17-18","495,00","2 712,30"
"18-19","512,00","3 120,10"
"19-20","511,15","3 275,60"
"20-21","550,00","3 378,30"
"21-22","530,00","3 302,00"
"22-23","501,00","3 100,90"
"23-24","460,39","2 552,30"
