"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","453,00","3 360,50"
"1-2","469,00","3 057,80"
"2-3","452,00","2 817,20"
"3-4","452,00","2 804,10"
"4-5","440,00","2 554,00"
"5-6","446,55","2 412,20"
"6-7","441,85","2 190,50"
"7-8","450,00","2 888,30"
"8-9","265,30","2 951,60"
"9-10","0,01","2 589,60"
"10-11","-16,00","3 032,10"
"11-12","-46,00","3 277,40"
"12-13","-89,10","3 374,30"
"13-14","-99,93","3 446,50"
"14-15","-70,17","3 218,80"
"15-16","-12,20","2 819,20"
"16-17","10,00","2 610,30"
"17-18","407,04","2 811,40"
"18-19","619,00","2 561,10"
"19-20","610,00","3 522,50"
"20-21","800,00","4 096,90"
"21-22","697,00","4 273,50"
"22-23","486,49","3 390,90"
"23-24","445,00","2 902,30"
