"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","454,00","2 944,40"
"1-2","450,50","2 788,10"
"2-3","442,00","2 640,70"
"3-4","446,00","2 660,50"
"4-5","430,00","2 677,10"
"5-6","436,39","2 606,10"
"6-7","456,00","3 154,50"
"7-8","462,01","2 556,90"
"8-9","430,10","2 980,30"
"9-10","268,95","3 801,50"
"10-11","70,00","4 092,50"
"11-12","1,00","4 386,40"
"12-13","0,01","4 346,60"
"13-14","1,00","4 181,20"
"14-15","31,90","3 861,40"
"15-16","143,10","3 610,20"
"16-17","275,00","3 515,30"
"17-18","437,26","2 877,60"
"18-19","482,00","3 230,20"
"19-20","650,00","4 021,00"
"21-22","740,69","4 417,70"
"22-23","515,28","4 623,20"
"23-24","449,90","3 745,10"
