"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","476,20","3 336,80"
"1-2","437,00","2 796,80"
"2-3","426,34","3 046,40"
"3-4","407,28","2 880,60"
"4-5","404,00","2 456,60"
"5-6","429,36","2 269,50"
"6-7","440,00","2 110,60"
"7-8","425,12","2 825,40"
"8-9","300,00","3 005,90"
"9-10","115,10","3 190,20"
"10-11","0,01","3 680,30"
"11-12","-0,01","3 203,60"
"12-13","-2,72","3 183,30"
"13-14","-2,72","3 115,00"
"14-15","-1,43","2 788,70"
"15-16","10,00","3 273,30"
"16-17","275,99","2 990,60"
"17-18","466,18","2 583,00"
"18-19","543,51","2 705,00"
"19-20","541,84","3 143,00"
"20-21","655,30","3 612,20"
"21-22","542,99","3 345,40"
"22-23","490,00","2 978,00"
"23-24","446,41","2 323,40"
