"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","463,40","2 528,50"
"1-2","425,07","2 355,80"
"2-3","397,40","2 355,20"
"3-4","379,00","2 208,80"
"4-5","370,11","1 897,10"
"5-6","357,00","1 895,10"
"6-7","299,99","2 157,90"
"7-8","196,46","2 638,90"
"8-9","53,87","2 770,60"
"9-10","-1,42","2 838,50"
"10-11","-80,00","3 369,50"
"11-12","-145,12","3 245,60"
"12-13","-240,36","3 336,20"
"13-14","-374,00","3 278,50"
"14-15","-277,61","2 903,50"
"15-16","-120,00","2 564,10"
"16-17","-2,13","2 639,10"
"17-18","105,61","2 677,20"
"18-19","443,18","2 615,10"
"19-20","537,00","3 360,00"
"20-21","644,57","3 440,00"
"21-22","621,00","3 574,10"
"22-23","525,28","3 045,30"
"23-24","462,10","2 688,50"
